Movie, Year_Released, Genre, Rating, Votes 
Joker,(2019),Crime| Drama| Thriller,8.6,701910
Avengers: Endgame,(2019),Action| Adventure| Drama,8.5,675651
Chernobyl,(2019),Drama| History| Thriller,9.4,423569
Once Upon a Time... in Hollywood,(2019),Comedy| Drama,7.7,400569
Captain Marvel,(2019),Action| Adventure| Sci-Fi,6.9,396890
Gisaengchung,(2019),Comedy| Drama| Thriller,8.6,295241
Spider-Man: Far from Home,(2019),Action| Adventure| Sci-Fi,7.5,267341
Star Wars: Episode IX - The Rise of Skywalker,(2019),Action| Adventure| Fantasy,6.8,261304
The Irishman,(2019),Biography| Crime| Drama,8.0,253123
John Wick: Chapter 3 - Parabellum,(2019),Action| Crime| Thriller,7.5,227316
The Witcher,(2019– ),Action| Adventure| Drama,8.3,225957
Shazam!,(2019),Action| Adventure| Comedy,7.1,218905
Game of Thrones,(2011–2019),Action| Adventure| Drama,4.1,218480
1917,(2019),Drama| War,8.4,206502
Knives Out,(2019),Comedy| Crime| Drama,8.0,206244
Game of Thrones,(2011–2019),Action| Adventure| Drama,7.5,199319
Alita: Battle Angel,(2019),Action| Adventure| Sci-Fi,7.3,193179
Aladdin,(2019),Adventure| Family| Fantasy,7.0,188905
Us,(II) (2019),Horror| Mystery| Thriller,6.9,185675
Glass,(2019),Drama| Sci-Fi| Thriller,6.7,183339
Marriage Story,(2019),Comedy| Drama| Romance,8.0,183150
Game of Thrones,(2011–2019),Action| Adventure| Drama,6.0,176961
The Lion King,(2019),Animation| Adventure| Drama,6.9,170218
Toy Story 4,(2019),Animation| Adventure| Comedy,7.8,161719
It Chapter Two,(2019),Drama| Fantasy| Horror,6.6,160249
Ford v Ferrari,(2019),Action| Biography| Drama,8.1,157902
El Camino: A Breaking Bad Movie,(2019),Action| Crime| Drama,7.4,152138
Game of Thrones,(2011–2019),Action| Adventure| Drama,5.5,151947
Jojo Rabbit,(2019),Comedy| Drama| War,8.0,150258
Ad Astra,(2019),Adventure| Drama| Mystery,6.6,148112
The Mandalorian,(2019– ),Action| Adventure| Sci-Fi,8.8,139097
Fast & Furious Presents: Hobbs & Shaw,(2019),Action| Adventure,6.5,134588
The Boys,(2019– ),Action| Comedy| Crime,8.7,132569
Dark Phoenix,(2019),Action| Adventure| Sci-Fi,5.8,125834
Midsommar,(2019),Drama| Horror| Mystery,7.1,123005
Game of Thrones,(2011–2019),Action| Adventure| Drama,7.6,121120
Game of Thrones,(2011–2019),Action| Adventure| Drama,7.9,119208
Pokémon Detective Pikachu,(2019),Action| Adventure| Comedy,6.6,116070
Sex Education,(2019– ),Comedy| Drama,8.3,114569
Uncut Gems,(2019),Crime| Drama| Thriller,7.6,113508
Godzilla: King of the Monsters,(2019),Action| Adventure| Fantasy,6.1,110384
6 Underground,(2019),Action| Adventure| Comedy,6.1,103665
Terminator: Dark Fate,(2019),Action| Adventure| Sci-Fi,6.3,101894
Rocketman,(I) (2019),Biography| Drama| Music,7.3,98150
Jumanji: The Next Level,(2019),Action| Adventure| Comedy,6.8,94389
The Umbrella Academy,(2019– ),Action| Adventure| Comedy,8.0,93842
Triple Frontier,(2019),Action| Adventure| Crime,6.4,91494
How to Train Your Dragon: The Hidden World,(2019),Animation| Action| Adventure,7.5,87973
Zombieland: Double Tap,(2019),Action| Comedy| Horror,6.8,87950
Men in Black: International,(2019),Action| Adventure| Comedy,5.6,87714
